Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"SMART CONTRACT CONCEPT AND SIGNS: COMPARATIVE LEGAL ANALYSIS OF THE LEGISLATION IN RUSSIA, BELARUS, THE EU AND THE USA","Kamyshansky, VP; Garmshev, MA; Shekhovtsova, AS; Novikova, EA; Yastrebov, VV","The authors examined the concept and signs of a smart contract through a comparative legal analysis of the legislation of Russia, Belarus, the EU and the USA. The key characteristics of a smart contract as a contract, its types, ways of development and improvement are highlighted and substantiated, the examples of smart contracts from the practice of these countries are given, problematic aspects of legal regulation in this sphere are identified.",2020,,TURISMO-ESTUDOS E PRATICAS,,,,WOS:000548853800047,,,#959,Kamyshansky 2020,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Visual and User-Defined Smart Contract Designing System Based on Automatic Coding,"Mao, DH; Wang, F; Wang, YL; Hao, ZH","Smart contract applications based on Ethereum blockchain have been widely used in many fields. They are developed by professional developers using specialized programming languages like solidity. It requires high requirements on knowledge of the specialized field and the proficiency in contract programming Thus, it is hard for normal users to design a usable smart contract based on their own demands. Most current studies about smart contracts focus on the security of coding while lack of friendly tools for users to design the specialized templates of contracts coding. This paper provides a visual and user-defined smart contract designing systems. It makes the development of domain-specific smart contracts simpler and visualization for contract users. The system implements the domain-specific features extraction about the crawled data sets of smart contract programs by TF-IDF and K-means++ clustering algorithm. Then, it achieves the automatic generation of unified basic function codes by Char-RNN (improved by LSTM) based on the domain-specific features. The system adopts Google Blockly and links the generated codes with UI controls. Finally, it provides a set of specialized templates of basic functions for users to design smart contracts by the friendly interface. It reduces the difficulty and costs of contract programming. The paper offers a case study to design contracts by users. The designed contracts were validated on the existing system to implement the food trading and traders' credit evaluation. The experimental results show that the designed smart contracts achieve good integration with the existing system and they can be deployed and compiled successfully.",2019,,IEEE ACCESS,7,,73131-73143,WOS:000472208400001,10.1109/ACCESS.2019.2920776,,#970,Mao 2019,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Driving Licence Registration and Verification System using Smart Contract,"Kale, R; Raipurkar, AR; Chandak, MB","Every kind of business depends on the evolving technologies that tend to take advantages of new opportunities. With every new technology, different set of challenges appear. In recent years, numerous blockchain-based applications have been proposed to solve problems in different areas. In this paper, an adaptive strategy is proposed to eliminate driving license frauds using blockchain technology. With second generation of blockchain technologies, smart contracts have helped to develop trust and automated transactions between large numbers of users. Smart Contracts are programs that run on the blockchain to take action on the records. This paper proposes a driving license registration and verification smart contract using Ethereum blockchain. The smart contract mechanism allows for registration of the officers/agents by a higher authority. It can dynamically restrict unregistered officer/fraud agents from generating fake driving license. Also, the smart contract facilitates verification of a registered driving license which includes checking its validity and authorization. It provides special rights to the traffic regulator officer to add remarks to the driving license if the driving license holder is found violating the traffic rules. Since the blockchain is an immutable ledger, this remark cannot be tampered and the apprehended person would be liable to pay the fines. This would result in reduction of traffic accidents and violation of traffic rules. This smart contract opens up doors for more innovations in this field and improves traffic regulation and management.",2020,,BIOSCIENCE BIOTECHNOLOGY RESEARCH COMMUNICATIONS,13,14,7-10,WOS:000640081000002,10.21786/bbrc/13.14/2,,#979,Kale 2020,Exclusion reason: Framework Not Provided; ,""
Blockchain-based two-party fair contract signing scheme,"Zhang, L; Zhang, HL; Yu, J; Xian, HQ","A fair contract signing scheme ensures that contract signing participants can fairly exchange the digital signatures of the contract, which has a wide range of applications on the Internet. Verifiable Encrypted Signature (VES) can be used as a fair exchange mechanism for digital signatures, in which it requires a centralized Trusted Third Party (TTP) as an adjudicator. However, there are many security challenges with the centralized TTP. For example, it may disclose the contents of the contract, collude with others, or even occurs a service interruption. To address those problems, in this paper, we propose a two-party fair contract signing scheme based on Ethereum smart contract, which allows participants to fairly perform the contract signing procedures on the blockchain. Specifically, we propose a modified VES scheme in which no centralized adjudicator is needed. Then we design the fair contract signing scheme based on the modified VES scheme. We leverage the Ethereum smart contract technology to ensure fairness, which has the characteristics of decentralization, verifiability, autonomy, efficiency, and tampering resistant. The theoretical analysis and experimental results show that our scheme is secure and feasible. (C) 2020 Elsevier Inc. All rights reserved.",2020,,INFORMATION SCIENCES,535,,142-155,WOS:000542608500009,10.1016/j.ins.2020.05.054,,#992,Zhang 2020,"Exclusion reason: Papers that discuss smart contracts in general, without specific focus on contract conversion or data-driven techniques; ",""
From Domain-Specific Language to Code: Smart Contracts and the Application of Design Patterns,"Wohrer, M; Zdun, U","Due to the conceptual discrepancy between legal contract terms and code, understanding and creating smart contracts without errors can be difficult. This article proposes smart contract design patterns and their automated application through (the use of) a domain-specific language and code generation.",2020,,IEEE SOFTWARE,37,5,37-42,WOS:000562037900007,10.1109/MS.2020.2993470,,#998,Wohrer 2020,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
A Recommender System for Robust Smart Contract Template Classification,"Gec, S; Stankovski, V; Lavbic, D; Kochovski, P","IoT environments are becoming increasingly heterogeneous in terms of their distributions and included entities by collaboratively involving not only data centers known from Cloud computing but also the different types of third-party entities that can provide computing resources. To transparently provide such resources and facilitate trust between the involved entities, it is necessary to develop and implement smart contracts. However, when developing smart contracts, developers face many challenges and concerns, such as security, contracts' correctness, a lack of documentation and/or design patterns, and others. To address this problem, we propose a new recommender system to facilitate the development and implementation of low-cost EVM-enabled smart contracts. The recommender system's algorithm provides the smart contract developer with smart contract templates that match their requirements and that are relevant to the typology of the fog architecture. It mainly relies on OpenZeppelin, a modular, reusable, and secure smart contract library that we use when classifying the smart contracts. The evaluation results indicate that by using our solution, the smart contracts' development times are overall reduced. Moreover, such smart contracts are sustainable for fog-computing IoT environments and applications in low-cost EVM-based ledgers. The recommender system has been successfully implemented in the ONTOCHAIN ecosystem, thus presenting its applicability.",2023,,SENSORS,23,2,,WOS:000918389400001,10.3390/s23020639,,#1010,Gec 2023,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Research on Smart Contract Optimization Method on Blockchain,"Hu, W; Fan, ZP; Gao, Y","The smart contract on the blockchain allows credible transactions without a third party. These transactions are traceable and irreversible. The deployment and implementation of smart contracts in Ethernet will consume some gas, which will directly affect the cost of smart contracts. In order to reduce the consumption of gas during the execution of smart contracts, this article proposes an optimization algorithm for generating business process smart contracts. First, business process modeling notation (BPMN) models are extended to Petri nets. Second, Petri nets are simplified to find nodes in BPMN models that can be considered fusion tasks. Using new mapping rules from the BPMN model to solidity language, BPMN model is generated into Ethereum Smart contract model. In the BPMN models with multilayer fusion task, experimental results show that the proposed algorithm can save 15% gas on average for business processes with multiple fusion tasks.",2019,,IT PROFESSIONAL,21,5,33-38,WOS:000485735800007,10.1109/MITP.2019.2923604,,#1041,Hu 2019,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Transforming Public Procurement Contracts Into Smart Contracts,"Debono, P","The terms governing the provision of supplies, services, or works by an economic operator to a governmental entity are set into a public contract that is signed, following a procurement process. This article explores whether the public administration can utilise smart contracts to incorporate the terms governing the provision of supplies, services, or works. The fundamental elements of a contract are assessed, in order to determine whether a smart contract can be considered as fulfilling these requirements. Following this assessment, the main hurdles to the use of smart contracting are examined and a possible solution proposed. The case for utilising smart contracting within the realm of public procurement is finally advocated.",2019,,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY PROJECT MANAGEMENT,10,2,16-28,WOS:000500697100003,10.4018/IJITPM.2019040103,,#1068,Debono 2019,Exclusion reason: Framework Not Provided; ,""
CONTRACTS EX MACHINA,"Werbach, K; Cornell, N","Smart contracts are self-executing digital transactions using decentralized cryptographic mechanisms for enforcement. They were theorized more than twenty years ago, but the recent development of Bitcoin and blockchain technologies has rekindled excitement about their potential among technologists and industry. Startup companies and major enterprises alike are now developing smart contract solutions for an array of markets, purporting to offer a digital bypass around traditional contract law. For legal scholars, smart contracts pose a significant question: Do smart contracts offer a superior solution to the problems that contract law addresses? In this article, we aim to understand both the potential and the limitations of smart contracts. We conclude that smart contracts offer novel possibilities, may significantly alter the commercial world, and will demand new legal responses. But smart contracts will not displace contract law. Understanding why not brings into focus the essential role of contract law as a remedial institution. In this way, smart contracts actually illuminate the role of contract law more than they obviate it.",2017,,DUKE LAW JOURNAL,67,2,313-382,WOS:000417790900002,,,#1092,Werbach 2017,Exclusion reason: Articles that focus solely on legal or regulatory aspects of contract management; ,""
The Formation of Blockchain-based Smart Contracts in the Light of Contract Law,"Durovic, M; Janssen, A","This contribution examines the formation of (blockchain-based) smart contracts. The term smart contract is used to refer to software programmes which are often, but not necessarily, built on blockchain technology as a set of promises, specified in digital form, including protocols within which the parties perform on these promises. It is regularly said that smart contracts are neither legal contracts in the traditional sense nor they are smart and that the term is therefore a misnomer. The crucial question this article is trying to answer is whether the traditional common law concept of contract formation is seriously challenged by the rise of smart contracts. As such, are smart contracts marking the end of contract formation as we know it or is it just much ado about nothing?",2018,,EUROPEAN REVIEW OF PRIVATE LAW,26,6,753-771,WOS:000456959900003,,,#1106,Durovic 2018,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Machine translation-based fine-grained comments generation for solidity smart contracts,"Shi, CC; Xiang, Y; Yu, JS; Sood, K; Gao, LX","Context. As self-executing programs on blockchain platforms, smart contracts can build a trusted environment between multi-parties. However, participants who lack programming knowledge usually have difficulties understanding smart contracts by reading the source code. It brings them difficulties and risks when interacting with decentralized applications. Objective. We aim to translate the smart contract source code into natural language descriptions as fine-grained in-line comments to help people better understand, learn and operate smart contracts. Method. We propose an automated translation approach for smart contracts written in Solidity, termed SolcTrans, based on an Syntax Tree (AST) and formal grammar. We have investigated representative Solidity smart contracts, identified the AST parsing paths and core attributes used for translation, and proposed corresponding translation templates for special statements. Then, we leveraged reinforcement learning to train a Probabilistic Context-Free Grammar-based syntax synthesizer used to generate comprehensible English sentences as comments. Result. The experimental results show that SolcTrans outperforms four state-of-the-art neural machine trans-lation models under currently available training data and is less affected by lengths of code snippets and translation outputs. We also conducted a human evaluation among 20 volunteers and asked them to score the generated comments. The results demonstrate that SolcTrans performs well on three metrics: Accuracy, Readability, and Instructiveness. Conclusion. Our approach produces high-quality fine-grained comments for smart contract source code under the small training dataset, which creates a paradigm for future studies.",2023,,INFORMATION AND SOFTWARE TECHNOLOGY,153,,,WOS:000870873400002,10.1016/j.infsof.2022.107065,,#1120,Shi 2023,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Consortium Blockchain Smart Contracts for Musical Rights Governance in a Collective Management Organizations (CMOs) Use Case,"Kapsoulis, N; Psychas, A; Palaiokrassas, G; Marinakis, A; Litke, A; Varvarigou, T; Bouchlis, C; Raouzaiou, A; Calvo, G; Subirana, JE","Private and permissioned blockchains are conceptualized and mostly assembled for fulfilling corporations' demands and needs in the context of their own premises. This paper presents a complete and sophisticated end-to-end permissioned blockchain application for governance and management of musical rights endorsed by smart contract development. In a music industry use case, this disclosed solution monitors and regulates conflicting musical rights of diverse entities under a popular permissioned distributed ledger technology network. The proposed implementation couples various and distinct business domains across the music industry organizations and non-profit blockchain associations.",2020,,FUTURE INTERNET,12,8,,WOS:000564710200001,10.3390/fi12080134,,#1133,Kapsoulis 2020,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Blockchain-enabled logistics finance execution platform for capital-constrained E-commerce retail,"Li, M; Shao, SJ; Ye, QW; Xu, GY; Huang, GQ","As one of the most prevailing retail channels, E-commerce has nowadays facilitated retailers to sell goods to customers worldwide and tremendously increased the supply chain efficiency by removing most intermediate links. The broaden business scope and accelerated goods circulation, nevertheless, have generally led to capital shortages for retailers, especially small and medium enterprises (SMEs). Given the SMEs' difficulty in acquiring capital from financial institutions such as banks, logistics finance (LF) has emerged as an alternative, which is the combination of logistics and financial service. However, the frequent order fulfillment and diversity of pledges in E-commerce hinder SMEs in meeting LF's financing requirements. Furthermore, the current LF relies more on large and reputable third-party logistics (3PLs) to alleviate financing risks, which in turn raises the entry threshold for other 3PLs. Hence, this paper has proposed a blockchain-enabled logistics finance execution platform (BcLFEP) as an integrated solution to facilitate LF for E-commerce retail. A cross-layered architecture is proposed to organize and manage involved resources, workflows and decisions based on the object-oriented methodology (OOM). A hybrid finite state machine-based smart contract (HFSM-SC) is designed to associate and coordinate with all kinds of agents for LF operations throughout its lifecycle. Moreover, blockchain is integrated with agent technology to construct a blockchain-enabled multi-agent system (BcMAS), providing a trusted runtime environment to more autonomously and efficiently execute smart contract. Finally, a case study is conducted to implement BcLFEP-enabled dynamic pledge management for verification and evaluation.",2020,,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,65,,,WOS:000541878200013,10.1016/j.rcim.2020.101962,,#1142,Li 2020,Exclusion reason: Framework Not Provided; ,""
Interpretation of Contracts and Smart Contracts: Smart Interpretation or Interpretation of Smart Contracts?,"Cannarsa, M","The computer language (computer code) on the basis of which smart contracts are written is different from the natural (Human) language. Computer language is a 'dry' language, whereas natural language is 'wet'. In other words, it means that computer language is deterministic (just one meaning and one result are conceivable), when natural language is open to more and potential different meanings. Natural language requires therefore in itself interpretation, at least more than computer language. Computer language in theory doesn't require and possibly doesn't leave room for interpretation. If this assumption is accurate, what are the consequences of it (on the intention of the parties, on contract drafting, on courts' intervention.)? Building on that assumption, this article explores, from a comparative perspective, the impact of the blockchain- based smart contract technology, especially regarding contract drafting techniques. Contract drafting style in common law (long contracts, based on a 'if., then..' approach, quite similar to the coding approach) is in part based on the idea of preventing courts' interpretation and intervention. In civil law countries instead, contracts are generally shorter, for several reasons but partly because drafters tend to rely on more general legal concepts, external to the contract, and know that courts will play an important role, through interpretation, in disclosing the 'true meaning' of a contract. Coding contracts and relying on computer- code language can hence have a significant impact on the civil law approach and bring the two legal systems closer as far as contract drafting and contract interpretation are concerned.",2018,,EUROPEAN REVIEW OF PRIVATE LAW,26,6,773-785,WOS:000456959900004,,,#1162,Cannarsa 2018,Exclusion reason: Studies that do not present any data-driven techniques for converting contracts or documents to smart contracts; ,""
Smart Contracts for Service-Level Agreements in Edge-to-Cloud Computing,"Kochovski, P; Stankovski, V; Gec, S; Faticanti, F; Savi, M; Siracusa, D; Kum, S","The management of Service-Level Agreements (SLAs) in Edge-to-Cloud computing is a complex task due to the great heterogeneity of computing infrastructures and networks and their varying runtime conditions, which influences the resulting Quality of Service (QoS). SLA-management should be supported by formal assurances, ranking and verification of various microservice deployment options. This work introduces a novel Smart Contract (SC) based architecture that provides for SLA management among relevant entities and actors in a decentralised computing environment: Virtual Machines (VMs), Cloud service consumers and Cloud providers. Its key components are especially designed SC functions, a trustless Smart Oracle (Chainlink) and a probabilistic Markov Decision Process. The novel architecture is implemented on Ethereum ledger (testnet). The results show its feasibility for SLA management including low costs operation within dynamic and decentralised Edge-to-Cloud federations.",2020,,JOURNAL OF GRID COMPUTING,18,4,673-690,WOS:000577053200001,10.1007/s10723-020-09534-y,,#1210,Kochovski 2020,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
Smart Contract in Blockchain: An Exploration of Legal Framework in Malaysia,"Zain, NRBM; Ali, ERAE; Abideen, A; Rahman, HA","In 2017, the global Blockchain technology market was predicted to reach 339.5 million U.S. dollars in size and is forecasted to grow to 2.3 billion U.S. dollars by 2021. The smart contract has an increasing role in governing the legal relationship between the interested parties. This research explores the current position of smart contracts in Malaysia and the viability of the Malaysian framework in handling the latest development. This research adopts the qualitative and doctrinal legal approaches in analysing the current legal practice, the relevant statutes and the viability of the Malaysian legal framework. These approaches are necessary to be carried out in ensuring the workability of smart contracts in Blockchain. Additionally, the practices of smart contracts from international experiences are collected as case studies in this research. As a part of the findings, the researchers found that smart contracts are more or less similar to traditional contracts. Therefore, the requirements as stipulated under the Contract Act 1950 that are applicable in Malaysia must be followed accordingly. In this study, based on the nature of Blockchain technology, the researchers evaluate the current position of Malaysian laws in dealing with smart contracts. Additionally, the researchers also looked at the acceptable legal practice of smart contracts in Malaysia.",2019,,INTELLECTUAL DISCOURSE,27,2,595-617,WOS:000504058000014,,,#1222,Zain 2019,"Exclusion reason: Papers that discuss smart contracts in general, without specific focus on contract conversion or data-driven techniques; ",""
Implementation of a Proof of Concept for a Blockchain-based Smart Contract for the Automotive Industry in Mauritius,"Luchoomun, K; Pudaruth, S; Kishnah, S","In recent years, there has been a growth of interest in the blockchain technology across a wide range of industries. Blockchain technology has the potential to transform the way businesses operate especially in the automotive industry. The distributed infrastructure and the secure nature of the blockchain technology encourages trust among businesses and consumers. In Mauritius, the automotive industry is facing challenges such as tampering of vehicle information, falsification of mileage and poor traceability which leads to a lack of trust from customers. In this work, an implementation of a proof of concept (POC) for a blockchain-based smart contract application has been proposed and implemented to mitigate these challenges. The automotives use cases: (a) vehicle importation; and (b) vehicle sale and registration have been implemented in the IBM blockchain platform which provides a secure and transparent way to invoke transactions. Finally, the performance and benefits of the Hyperledger Fabric vehicle application have been assessed based on transparency, security, traceability and efficiency.",2020,,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,11,3,71-81,WOS:000524029200009,,,#1242,Luchoomun 2020,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Decentralized Telemedicine Framework for a Smart Healthcare Ecosystem,"Abugabah, A; Nizam, N; Alzubi, AA","The healthcare sector is one of the most rapidly growing sectors globally. With the ever-growing technology, patient care, regulatory compliance, and digital transformation, there is an increased need for healthcare sectors to collaborate with all stakeholders - both within the healthcare ecosystem and in concurring industries. In recent times, telemedicine has proven to provide high quality, affordable, and predominantly adapted healthcare services. However, telemedicine suffers from several risks in implementation, such as data breach, restricted access across medical fraternity, incorrect diagnosis and prescription, fraud, and abuse. In this work, introduce blockchain-based framework that would unlock the future of the healthcare sector and improved services. Our proposed solution utilizing Ethereum smart contracts to develop a transparent, tamper-proof telemedicine healthcare framework, and ensure the integrity of sensitive patient data eliminating a central administrator. Moreover, the smart contract regulates the interaction between all the parties involved in the network and keeps the patient meticulously informed about the transactions in the network.",2020,,IEEE ACCESS,8,,166575-166588,WOS:000573020400001,10.1109/ACCESS.2020.3021823,,#1250,Abugabah 2020,Exclusion reason: Studies that do not present any data-driven techniques for converting contracts or documents to smart contracts; ,""
Blockchain-Based Medical Certificate Generation and Verification for IoT-Based Healthcare Systems,"Namasudra, S; Sharma, P; Crespo, RG; Shanmuganathan, V","Nowadays, medical certificates are very important for many users as they want to avail health benefits like tax purposes, insurance claims, legal procedures, and many more. Generating, issuing, and maintaining medical certificates remain a significant problem; before the invention of the computer, they were available as hard copies. The digitization of medical certificates and documents leads to potential security issues, such as forging of certificates risks the privacy of healthcare documents. Moreover, individuals still need to be physically present and wait at the issuing healthcare centers to get the certificates. Currently, the infrastructure of any healthcare industry connects the Internet of Things (IoT) devices and application software that communicates with the information technology systems. Blockchain technology with IoT can significantly affect the healthcare industry by improving efficiency, security, transparency, and can provide more business opportunities. Therefore, a privacy-preserving technique has been proposed in this article for IoT-based healthcare systems using blockchain technology. The proposed architecture provides an interface between the users and healthcare centers to generate and maintain healthcare documents. Furthermore, the proposed scheme ensures security by specifying rules with a smart contract. Results and discussion show that the proposed scheme is more efficient than the existing schemes.",2023,,IEEE CONSUMER ELECTRONICS MAGAZINE,12,2,83-93,WOS:000938821300013,10.1109/MCE.2021.3140048,,#1332,Namasudra 2023,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
A Blockchain-Based Approach for the Creation of Digital Twins,"Hasan, HR; Salah, K; Jayaraman, R; Omar, M; Yaqoob, I; Pesic, S; Taylor, T; Boscovic, D","The rapid advancements in computing, storage, communications, and networking technologies have enabled the creation of Digital Twins (DTs). A DT is a digital representation of a real-world physical component, product, or equipment. A DT can be used for 3-D design, testing, simulation, and prototyping prior to the manufacturing of the physical component. Once a physical component is in operation, a DT can be used for configuration, monitoring, diagnostics, and prognostics. It is expected that DTs will gain significant attention in the foreseeable future, and will play a key role in Industry 4.0. However, todays approaches, systems, and technologies leveraged for the creation of DTs are mostly centralized and fall short of providing trusted data provenance, audit, and traceability. Also, data related to transactions, logs, and history are not secure or tamper-proof. In this paper, we propose a blockchain-based creation process of DTs to guarantee secure and trusted traceability, accessibility, and immutability of transactions, logs, and data provenance. Our proposed approach uses smart contracts to govern and track transactions initiated by participants involved in the creation of DTs. Our approach also employs decentralized storage of interplanetary file systems to store and share DTs data. Moreover, we present details on our system design and architecture, implementation, and algorithms. Furthermore, we provide security and cost analysis, and show how our approach fulfills the requirements of DTs process creation. We make the smart contract code for creating DTs publicly available on Github.",2020,,IEEE ACCESS,8,,34113-34126,WOS:000567609700007,10.1109/ACCESS.2020.2974810,,#1398,Hasan 2020,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
"RETRACTED: A remix IDE: smart contract-based framework for the healthcare sector by using Blockchain technology (Retracted article. See SEP, 2022)","Latif, RAM; Hussain, K; Jhanjhi, NZ; Nayyar, A; Rizwan, O","Technology is continually evolving, and Blockchain development in recent years has shown tremendous adaptability. Blockchain's emphasis lies mainly in the finance sector, but some latent fields such as healthcare still grow and transform the future. In this paper, we introduced a smart contract-based framework for Blockchain-based healthcare system. According to our hypotheses, the proposed framework in the healthcare system will be changed by leveraging the principles and technologies of a public ledger, which will change the healthcare industry's vision based on Blockchain. Health records, laboratory evaluation results, doctoral perceptions, and precise information about health care can be decentralized in the form of blocks in the form of transactions. These blocks can be linked in Blockchain as distributed ledgers according to the series of events. It can eliminate a highly complex process and manual intervention. Through adding an Identity Manager, fully open and secure applications can be based on Blockchain technologies. Based on the expected outcomes, we are optimistic that the proposed Blockchain-based framework will be helpful in the healthcare context; to evaluate the maturity level of our proposed framework we map the framework on Ethereum-based application and evaluated in the hospital setting, for the evaluation of the proposed framework. At the initial stage, we are confident that the proposed framework will be helpful in the hospital environment and contribute to enhancing the performance of the healthcare environment.",2022,,MULTIMEDIA TOOLS AND APPLICATIONS,81,19,26609-26632,WOS:000588276000002,10.1007/s11042-020-10087-1,,#1408,Latif 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Smart Contract Implementation in Building Information Modeling-Enabled Projects: Approach to Contract Administration,"Chong, H.-Y.; Cheng, M.","The detailed practices for smart contract implementation can be complicated when working under building information modeling (BIM)-enabled projects, especially from the perspective of contract administration. This research aims to explore and determine effective contractual practices and their associated contract provisions for smart contract implementation in BIM-enabled projects. A mixed-methods approach was adopted based on an exploratory case study and a questionnaire survey. The qualitative findings were used to initially identify the core criteria of the contractual aspects associated with smart contracts. Quantitative analysis was then applied to determine the critical contract provisions. This research provides new insights and practical knowledge toward implementing legally sound smart contracts in BIM-enabled projects through the contractual aspects of (1) contractual relationships and obligations, (2) security and privacy, and (3) other specific terms and overall contract structure. A contract framework is also developed for future research and practice of smart contract implementation in BIM-enabled projects. © 2023 American Society of Civil Engineers.",2023,,J Constr Eng Manage,149,5,,,10.1061/JCEMD4.COENG-13216,,#1499,Chong 2023,"Exclusion reason: Papers that discuss smart contracts in general, without specific focus on contract conversion or data-driven techniques; ",""
A Healthcare Delivery System Powered by Semantic Data Description and Blockchain,"Azzi, R.; Kilany Chamoun, R.; Serhrouchni, A.; Sokhn, M.","Continuous technological progress has been supporting health providers with powerful tools to help them improve the delivery of health services and ensure patients’ safety. These adopted technologies focus on data collection. However, patients’ data are distributed and fragmented, which highly affects the quality of care. In this paper, we propose a blockchain-based approach to improve the management of patients’ data by addressing: the adverse drug interactions or reactions due to inappropriate medication intake. Although the initial target of our contribution is the healthcare system in Lebanon, our solution can be applied to improve any healthcare system. It combines the usage of a blockchain with Semantic Web technologies, where the blockchain provides a secure infrastructure for data sharing and prevents data tampering through a tamper-proof audit log. As for the semantic description of data, it brings a common shared understanding of the data at hand, boosting knowledge discovery, and automating decision making. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2023,,Lect. Notes Networks Syst.,651 LNNS,,224-242,,10.1007/978-3-031-28076-4_19,,#1519,Azzi 2023,"Exclusion reason: Papers that discuss smart contracts in general, without specific focus on contract conversion or data-driven techniques; ",""
Symboleo2SC: From Legal Contract Specifications to Smart Contracts,"Rasti, A.; Amyot, D.; Parvizimosaed, A.; Roveri, M.; Logrippo, L.; Anda, A.A.; Mylopoulos, J.","Smart contracts (SCs) are software systems that monitor and control the execution of legal contracts to ensure compliance with the contracts' terms and conditions. They often exploit Internet-of-Things technologies to support their monitoring functions, and blockchain technology to ensure the integrity of their data. Ethereum and business blockchain platforms, such as Hyperledger Fabric, are popular choices for SC development. However, there is a gap in the knowledge of SCs between developers and legal experts. Symboleo is a formal specification language for legal contracts that was introduced to address this issue. Symboleo specifications directly encode legal concepts such as parties, obligations, and powers. In this paper, we propose a tool-supported method for translating Symboleo specifications into smart contracts. We have extended the current Symboleo IDE, implemented the ontology and semantics of Symboleo into a reusable library, and developed the Symboleo2SC tool to generate Hyperledger Fabric code exploiting this library. Symboleo2SC was evaluated with three sample contracts. The results shows that legal contract specifications in Symboleo can be fully converted to SCs for monitoring purposes. Moreover, Symboleo2SC helps simplify the SC development process, saves development effort, and helps reduce risks of coding errors. © 2022 ACM.",2022,,"Proc. - ACM/IEEE Int. Conf. Model Driven Eng. Lang. Syst., MODELS",,,300-310,,10.1145/3550355.3552407,,#1561,Rasti 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Exploring the Systematic Design of Blockchain-based Applications Using Integrated Modeling Standards,"Curty, S.; Fill, H.-G.","The systematic design of blockchain-based applications requires a holistic perspective covering business and IT aspects as well as their alignment. Further, multiple actors need to be involved in this process for achieving a mutual understanding of the design options and their effects on the organizational and technical requirements. In this context we explore an integrated set of state-of-the-art modeling methods for the business, business process, enterprise architecture and IT perspectives for supporting the prototypical realization of blockchain-based applications in interdisciplinary teams. We illustrate the application of the integrated methods with a use case in the area of decentralized auctioning and derive requirements for further research. © 2022 Copyright for this paper by its authors.",2022,,CEUR Workshop Proc.,3298,,,,,,#1637,Curty 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
An Electronic Contract Management System Based on Blockchain A case study of technology framework with improved algorithms,"Guo, S.","Contract management is the core of management business that implements enterprise risk management and internal control. The quality of contract management directly affects the success or failure of the company's operations. However, the contract approval process of manual management is not clear: the level of information utilization is not high, resulting in low business processing efficiency with wasting huge man-power and material resources. Hence, many companies have been working on finding a simple and practical software to manage contracts. The article advances an electronic contract management software. The existing electronic contract system is not secure enough in encryption because of the shortcoming of easily forgetting and pretending. The new system adds a private key login through a coin-free open chain technology which is used in hospital, government, military, university and other special scenes, achieved perfect security guarantee. This paper discusses several crucial mechanisms implemented for the goals of designing the system, and gives out relevant methods and process of the implementation. Guided by system engineering theory, this thesis also discusses the modeling and optimization problems of consensus mechanism. The article finally makes analysis on the research process and results, discusses the advantages and prospects of the technology, and points out problems remaining to be solved. © 2022 IEEE.",2022,,"Proc. - Asia Conf. Algorithms, Comput. Mach. Learn., CACML",,,115-120,,10.1109/CACML55074.2022.00027,,#1666,Guo 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Standardizing Smart Contracts,"Capocasale, V.; Perboli, G.","In the evolving context of distributed ledger technologies, the standardization of smart contracts is necessary. Smart contracts are tamper-proof computer programs. Due to their security and flexibility, it is possible to exploit smart contracts in a wide variety of use cases. In particular, it could be possible to automate legally recognized contracts by leveraging smart contracts. To this extent, some standards regarding the proper management of smart contracts are surging. However, there are still many technological misconceptions regarding smart contracts. This study describes smart contracts from multiple perspectives and identifies and clarifies some of the most common misconceptions regarding smart contracts. This study also provides some guidelines and insights on the proper management of smart contracts. This study can be a valuable resource for future standards on smart contracts. © 2013 IEEE.",2022,,IEEE Access,10,,91203-91212,,10.1109/ACCESS.2022.3202550,,#1672,Capocasale 2022,Exclusion reason: Framework Not Provided; ,""
